Customer_ID,Signup_Date,Plan,Region,Acquisition_Channel,Monthly_Revenue,Support_Tickets,Usage_Score,Satisfaction_Score,Tenure_Months,Churned,Churn_Date,Churn_Reason
CUST-5000,2024-01-01,Pro,North,Organic Search,1499,4,72.1,6.5,3,True,2024-04-01,Switched to competitor
CUST-5001,2024-01-01,Enterprise,North,Paid Ads,4999,2,77.9,9.4,23,False,,
CUST-5002,2024-01-01,Pro,South,Organic Search,1499,1,100.0,7.5,23,False,,
CUST-5003,2024-01-01,Pro,East,Paid Ads,1499,5,54.5,8.3,13,True,2025-01-30,Poor support experience
CUST-5004,2024-01-01,Basic,North,Paid Ads,499,3,75.9,4.6,6,True,2024-07-01,Poor support experience
CUST-5005,2024-01-02,Basic,East,Social Media,499,3,79.3,5.8,1,True,2024-02-01,Missing features
CUST-5006,2024-01-02,Basic,North,Organic Search,499,3,80.5,3.5,3,True,2024-04-02,No longer needed
CUST-5007,2024-01-02,Enterprise,South,Social Media,4999,3,43.3,5.1,2,True,2024-03-02,Switched to competitor
CUST-5008,2024-01-02,Basic,South,Paid Ads,499,2,84.7,5.3,23,False,,
CUST-5009,2024-01-02,Pro,East,Organic Search,1499,4,87.8,8.3,23,False,,
CUST-5010,2024-01-02,Pro,North,Referral,1499,3,23.8,8.3,0,True,2024-01-02,Switched to competitor
CUST-5011,2024-01-03,Basic,East,Paid Ads,499,4,53.1,6.7,11,True,2024-12-02,Low product usage
CUST-5012,2024-01-03,Basic,East,Paid Ads,499,1,57.6,6.5,10,True,2024-11-02,Low product usage
CUST-5013,2024-01-03,Basic,South,Paid Ads,499,7,56.2,5.8,15,True,2025-04-03,No longer needed
CUST-5014,2024-01-03,Basic,West,Organic Search,499,2,61.6,8.3,9,True,2024-10-02,Poor support experience
CUST-5015,2024-01-03,Pro,East,Organic Search,1499,3,72.0,5.6,11,True,2024-12-02,Poor support experience
CUST-5016,2024-01-04,Pro,South,Paid Ads,1499,4,98.8,7.0,23,False,,
CUST-5017,2024-01-04,Basic,East,Referral,499,1,57.6,7.8,23,False,,
